Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Titanium Healing Abutment — 3 mm,titanium-healing-abutment-3mm,"<p>Titanium Healing Abutment — 3 mm variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Healing Abutments,"healing,titanium,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,HCN-3030,,Variant,H 3 mm · Ø 3.8 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-healing-slim-4.webp,1,Titanium Healing Abutment — 3 mm — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-healing-slim-4.webp,FALSE,Titanium Healing Abutment — 3 mm | NOVA Implants USA,Shop Titanium Healing Abutment — 3 mm from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,HCN-3030,,,New,TRUE,,,,,
,titanium-healing-abutment-3mm,,,,,,,,HCN-3040,,,H 3 mm · Ø 4.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,HCN-3040,,,New,TRUE,,,,,
,titanium-healing-abutment-3mm,,,,,,,,HCN-3050,,,H 3 mm · Ø 5.0 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,HCN-3050,,,New,TRUE,,,,,
,titanium-healing-abutment-3mm,,,,,,,,HCN-3070,,,H 3 mm · Ø 7.0 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,HCN-3070,,,New,TRUE,,,,,
Titanium Healing Abutment — 5 mm,titanium-healing-abutment-5mm,"<p>Titanium Healing Abutment — 5 mm variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Healing Abutments,"healing,titanium,catalog-review,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,HCN-3050,,Variant,H 5 mm · Ø 3.8 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-healing-slim-4.webp,1,Titanium Healing Abutment — 5 mm — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-healing-slim-4.webp,FALSE,Titanium Healing Abutment — 5 mm | NOVA Implants USA,Shop Titanium Healing Abutment — 5 mm from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,HCN-3050,,,New,TRUE,,,,,
,titanium-healing-abutment-5mm,,,,,,,,HC-4050,,,H 5 mm · Ø 4.6 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,HC-4050,,,New,TRUE,,,,,
,titanium-healing-abutment-5mm,,,,,,,,HC-5050,,,H 5 mm · Ø 5.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,HC-5050,,,New,TRUE,,,,,
,titanium-healing-abutment-5mm,,,,,,,,HCW-6050,,,H 5 mm · Ø 6.3 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,HCW-6050,,,New,TRUE,,,,,
Concave Titanium Healing Abutment,concave-titanium-healing-abutment,"<p>Concave Titanium Healing Abutment variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Healing Abutments,"healing,concave,titanium,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,HAC-SV-RP30,,Variant,H 3 mm · Ø 4.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-healing-slim-4.webp,1,Concave Titanium Healing Abutment — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-healing-slim-4.webp,FALSE,Concave Titanium Healing Abutment | NOVA Implants USA,Shop Concave Titanium Healing Abutment from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,HAC-SV-RP30,,,New,TRUE,,,,,
,concave-titanium-healing-abutment,,,,,,,,HAC-SV-RP50,,,H 5 mm · Ø 4.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,HAC-SV-RP50,,,New,TRUE,,,,,
