Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
"PSI Implant System","psi-implant-system","<p>Tapered, self-tapping Ti-6Al-4V ELI dental implant family with an internal-hex connection and Nova Active Surface treatment. Select the exact diameter and length using the catalog number.</p><p><strong>Professional use only.</strong> Confirm labeling and the current Instructions for Use before ordering or clinical use.</p>","NOVA Implants","","Dental Implants","professional-use, internal-hex, catalog-2024","FALSE","Draft","PSI-3.3-L8","","Diameter","3.3 mm","","Length","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","FALSE","PSI Implant System | NOVA Implants","Cataloged PSI Implant System variants for trained dental professionals. Confirm dimensions, labeling and current IFU before ordering.","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.3-L10","","","3.3 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.3-L11.5","","","3.3 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.3-L13","","","3.3 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.3-L16","","","3.3 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.75-L8","","","3.75 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.75-L10","","","3.75 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.75-L11.5","","","3.75 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.75-L13","","","3.75 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-3.75-L16","","","3.75 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-4.2-L6","","","4.2 mm","","","6 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-4.2-L8","","","4.2 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-4.2-L10","","","4.2 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-4.2-L11.5","","","4.2 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-4.2-L13","","","4.2 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-4.2-L16","","","4.2 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-5-L6","","","5.0 mm","","","6 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-5-L8","","","5.0 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-5-L10","","","5.0 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-5-L11.5","","","5.0 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-5-L13","","","5.0 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-5-L16","","","5.0 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-6-L6","","","6.0 mm","","","6 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-6-L8","","","6.0 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-6-L10","","","6.0 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-6-L11.6","","","6.0 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-6-L13","","","6.0 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","psi-implant-system","","","","","","","","PSI-6-L16","","","6.0 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"PCI Implant System","pci-implant-system","<p>Straight-wall, self-drilling Ti-6Al-4V ELI dental implant family with a 2.5 mm internal-hex connection and Nova Active or NOVIT surface options. Select the exact diameter and length using the catalog number.</p><p><strong>Professional use only.</strong> Confirm labeling, requested surface treatment and the current Instructions for Use before ordering or clinical use.</p>","NOVA Implants","","Dental Implants","professional-use, internal-hex, catalog-2024","FALSE","Draft","PCI-3.3-L8","","Diameter","3.3 mm","","Length","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","FALSE","PCI Implant System | NOVA Implants","Cataloged PCI Implant System variants for trained dental professionals. Confirm dimensions, labeling and current IFU before ordering.","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.3-L10","","","3.3 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.3-L11.5","","","3.3 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.3-L13","","","3.3 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.3-L16","","","3.3 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.75-L8","","","3.75 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.75-L10","","","3.75 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.75-L11.5","","","3.75 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.75-L13","","","3.75 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-3.75-L16","","","3.75 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-4.2-L6","","","4.2 mm","","","6 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-4.2-L8","","","4.2 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-4.2-L10","","","4.2 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-4.2-L11.5","","","4.2 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-4.2-L13","","","4.2 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-4.2-L16","","","4.2 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-5-L6","","","5.0 mm","","","6 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-5-L8","","","5.0 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-5-L10","","","5.0 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-5-L11.5","","","5.0 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-5-L13","","","5.0 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-5-L16","","","5.0 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-6-L6","","","6.0 mm","","","6 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-6-L8","","","6.0 mm","","","8 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-6-L10","","","6.0 mm","","","10 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-6-L11.6","","","6.0 mm","","","11.5 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-6-L13","","","6.0 mm","","","13 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
"","pci-implant-system","","","","","","","","PCI-6-L16","","","6.0 mm","","","16 mm","","","","","0.00","","","FALSE","","","","","","","","DENY","","","TRUE","manual","","","","","","","","","","","","","","","New","TRUE","","","","",""
